일련번호,기관명,도로명주소,전화번호,위도,경도,동구분
1,경인북부수협 선학지점,인천광역시 연수구 학나래로6번길 48,032-822-9101,37.425166,126.698128,선학동
2,관교문학새마을금고 제2분소,인천광역시 연수구 학나래로118번길 9,032-814-6414,37.427925,126.698447,선학동
3,국민은행 송도지점,인천광역시 연수구 신송로 122 2층,032-851-0371,37.395714,126.652444,송도동
4,국민은행동춘동지점,인천광역시 연수구 원인재로 59,032-815-2472,37.405395,126.672745,동춘동
5,국민은행송도PB센터,인천광역시 연수구 컨벤시아대로 81 3층,032-858-2460,37.394901,126.650156,송도동
6,기업은행 송도테크노파크지점,인천광역시 연수구 갯벌로 12,032-260-1236,37.382084,126.654663,송도동
7,남인천농협 선학지점,인천광역시 연수구 선학로 72,032-820-5700,37.423928,126.701317,선학동
8,남인천농협 송도신도시지점,인천광역시 연수구 신송로82번길 6 101호,032-830-5300,37.393282,126.657478,송도동
9,남인천농협동막지점,인천광역시 연수구 원인재로 14,032-812-7056,37.401583,126.671079,동춘동
10,남인천농협소암영농회,인천광역시 연수구 능허대로 353,032-833-2605,37.416201,126.649982,동춘동
11,농협중앙회 송도지점,인천광역시 연수구 해돋이로120번길 16,032-858-0022,37.39333,126.651988,송도동
12,농협중앙회 송도파크지점,인천광역시 연수구 해돋이로84번길 10,032-851-6802,37.39014,126.654454,송도동
13,농협중앙회동춘지점,인천광역시 연수구 먼우금로 92,032-817-9872,37.406968,126.670374,동춘동
14,농협중앙회연수지점,인천광역시 연수구 먼우금로221번길 13,032-818-3674,37.417396,126.676677,연수동
15,대신증권 송도지점,인천광역시 연수구 해돋이로 110 3층,032-834-4200,37.391814,126.650301,송도동
16,동양증권 송도지점,인천광역시 연수구 신송로 122 3층,032-858-2525,37.395714,126.652444,송도동
17,서울보증보험송도지점,인천광역시 연수구 갯벌로 12,032-859-0021,37.382084,126.654663,송도동
18,서울저축은행 송도지점,인천광역시 연수구 컨벤시아대로 55. 2층,032-420-6688,37.39626,126.651931,송도동
19,수협 송도신도시지점,인천광역시 연수구 하모니로36번길 19,032-858-0933,37.392452,126.649717,송도동
20,신한은행 송도신도시지점,인천광역시 연수구 신송로 121 2층,032-851-0242,37.395261,126.651875,송도동
21,신한은행 송도웰카운티지점,인천광역시 연수구 해송로 70,032-834-8228,37.379109,126.650591,송도동
22,신한은행 옥련동지점,인천광역시 연수구 독배로40번길 11,032-831-1707,37.424486,126.645626,옥련동
23,연수새마을금고 옥련분소,인천광역시 연수구 독배로40번길 43,032-831-2029,37.424584,126.647226,옥련동
24,연수새마을금고청학분소,인천광역시 연수구 청학로15번길 4,032-831-2050,37.428673,126.663269,청학동
25,외환은행 송도신도시지점,인천광역시 연수구 해돋이로120번길 23 2층,032-831-5641,37.394142,126.650816,송도동
26,우리은행 송도웰카운티영업점,인천광역시 연수구 해송로 70,032-851-2164,37.379109,126.650591,송도동
27,우리은행 송도지점,인천광역시 연수구 신송로 121 2층,032-851-0520,37.395261,126.651875,송도동
28,우리은행 옥련동지점,인천광역시 연수구 독배로 42,032-831-6321,37.424479,126.644908,옥련동
29,인천수산업협동조합,인천광역시 연수구 새말로 141,032-220-2114,37.417053,126.684756,연수동
30,인천수협,인천광역시 연수구 앵고개로264번길 41,032-816-3511,37.405395,126.672745,동춘동
31,인천축산업협동조합연수지점,인천광역시 연수구 용담로 87,032-821-0320,37.416657,126.675401,청학동
32,인평신용협동조합(우성지점),인천광역시 연수구 원인재로 180 우성2차상가 2층,032-811-3700,37.411687,126.684475,연수동
33,인평신협 송도지점,인천광역시 연수구 컨벤시아대로 116,032-851-9800,37.393256,126.646239,송도동
34,제일은행 송도신도시지점,인천광역시 연수구 해돋이로 106,032-834-3535,37.391602,126.650685,송도동
35,중소기업은행연수지점,인천광역시 연수구 앵고개로 248,032-811-0584,37.408315,126.671248,동춘동
36,토마토상호저축은행 송도지점,인천광역시 연수구 컨벤시아대로 69 2층,032-717-2100,37.395661,126.650954,송도동
37,하나은행 송도신도시지점,인천광역시 연수구 해돋이로 102 2층,032-859-1111,37.391371,126.651056,송도동
38,한국씨티은행동춘지점,인천광역시 연수구 원인재로 56 현대종합상가,032-811-4376,37.403309,126.676195,동춘동
39,한화증권 송도지점,인천광역시 연수구 컨벤시아대로 69 2층,032-851-7233,37.395661,126.650954,송도동
40,KB국민은행연수중앙지점,인천광역시 연수구 먼우금로 201,032-818-3982,37.415288,126.676346,청학동
41,SC제일은행,인천광역시 연수구 원인재로 300 상가 2층,032-814-8380,37.420713,126.694656,연수동
